Tamanho,Densidade,Representacao,Algoritmo,Direcionado,Tempo(ns)
10,0.2,Lista,Dijkstra,NaoDirigido,1699390
10,0.2,Matriz,Dijkstra,NaoDirigido,2623810
10,0.2,Lista,Bellman-Ford,NaoDirigido,3527240
10,0.2,Matriz,Bellman-Ford,NaoDirigido,4471730
10,0.2,Lista,Dijkstra,Dirigido,5369300
10,0.2,Matriz,Dijkstra,Dirigido,6260890
10,0.2,Lista,Bellman-Ford,Dirigido,7127750
10,0.2,Matriz,Bellman-Ford,Dirigido,8045160
10,0.5,Lista,Dijkstra,NaoDirigido,8095910
10,0.5,Matriz,Dijkstra,NaoDirigido,8141670
10,0.5,Lista,Bellman-Ford,NaoDirigido,8241960
10,0.5,Matriz,Bellman-Ford,NaoDirigido,8302090
10,0.5,Lista,Dijkstra,Dirigido,8342780
10,0.5,Matriz,Dijkstra,Dirigido,8388660
10,0.5,Lista,Bellman-Ford,Dirigido,8452070
10,0.5,Matriz,Bellman-Ford,Dirigido,8502300
10,0.8,Lista,Dijkstra,NaoDirigido,8544460
10,0.8,Matriz,Dijkstra,NaoDirigido,8574850
10,0.8,Lista,Bellman-Ford,NaoDirigido,8711840
10,0.8,Matriz,Bellman-Ford,NaoDirigido,8763360
10,0.8,Lista,Dijkstra,Dirigido,8795520
10,0.8,Matriz,Dijkstra,Dirigido,8822640
10,0.8,Lista,Bellman-Ford,Dirigido,8903740
10,0.8,Matriz,Bellman-Ford,Dirigido,8959230
20,0.2,Lista,Dijkstra,NaoDirigido,9009410
20,0.2,Matriz,Dijkstra,NaoDirigido,9057140
20,0.2,Lista,Bellman-Ford,NaoDirigido,9336530
20,0.2,Matriz,Bellman-Ford,NaoDirigido,9553260
20,0.2,Lista,Dijkstra,Dirigido,9590150
20,0.2,Matriz,Dijkstra,Dirigido,9627030
20,0.2,Lista,Bellman-Ford,Dirigido,9791560
20,0.2,Matriz,Bellman-Ford,Dirigido,9979650
20,0.5,Lista,Dijkstra,NaoDirigido,10043050
20,0.5,Matriz,Dijkstra,NaoDirigido,10095200
20,0.5,Lista,Bellman-Ford,NaoDirigido,10473150
20,0.5,Matriz,Bellman-Ford,NaoDirigido,10524690
20,0.5,Lista,Dijkstra,Dirigido,10576240
20,0.5,Matriz,Dijkstra,Dirigido,10618640
20,0.5,Lista,Bellman-Ford,Dirigido,10968260
20,0.5,Matriz,Bellman-Ford,Dirigido,11021330
20,0.8,Lista,Dijkstra,NaoDirigido,11096350
20,0.8,Matriz,Dijkstra,NaoDirigido,11145260
20,0.8,Lista,Bellman-Ford,NaoDirigido,11335110
20,0.8,Matriz,Bellman-Ford,NaoDirigido,11383760
20,0.8,Lista,Dijkstra,Dirigido,11432290
20,0.8,Matriz,Dijkstra,Dirigido,11473350
20,0.8,Lista,Bellman-Ford,Dirigido,11800390
20,0.8,Matriz,Bellman-Ford,Dirigido,11851490
50,0.2,Lista,Dijkstra,NaoDirigido,11988190
50,0.2,Matriz,Dijkstra,NaoDirigido,12145540
50,0.2,Lista,Bellman-Ford,NaoDirigido,12759550
50,0.2,Matriz,Bellman-Ford,NaoDirigido,13129660
50,0.2,Lista,Dijkstra,Dirigido,13220920
50,0.2,Matriz,Dijkstra,Dirigido,13327250
50,0.2,Lista,Bellman-Ford,Dirigido,13688010
50,0.2,Matriz,Bellman-Ford,Dirigido,14058560
50,0.5,Lista,Dijkstra,NaoDirigido,14295320
50,0.5,Matriz,Dijkstra,NaoDirigido,14422720
50,0.5,Lista,Bellman-Ford,NaoDirigido,15867600
50,0.5,Matriz,Bellman-Ford,NaoDirigido,16255740
50,0.5,Lista,Dijkstra,Dirigido,16430500
50,0.5,Matriz,Dijkstra,Dirigido,16547830
50,0.5,Lista,Bellman-Ford,Dirigido,17327720
50,0.5,Matriz,Bellman-Ford,Dirigido,17686130
50,0.8,Lista,Dijkstra,NaoDirigido,18013950
50,0.8,Matriz,Dijkstra,NaoDirigido,18107910
50,0.8,Lista,Bellman-Ford,NaoDirigido,20299950
50,0.8,Matriz,Bellman-Ford,NaoDirigido,20741060
50,0.8,Lista,Dijkstra,Dirigido,20943100
50,0.8,Matriz,Dijkstra,Dirigido,21051090
50,0.8,Lista,Bellman-Ford,Dirigido,23065890
50,0.8,Matriz,Bellman-Ford,Dirigido,23449600
100,0.2,Lista,Dijkstra,NaoDirigido,23574740
100,0.2,Matriz,Dijkstra,NaoDirigido,23704490
100,0.2,Lista,Bellman-Ford,NaoDirigido,26147790
100,0.2,Matriz,Bellman-Ford,NaoDirigido,31018730
100,0.2,Lista,Dijkstra,Dirigido,31276360
100,0.2,Matriz,Dijkstra,Dirigido,31412490
100,0.2,Lista,Bellman-Ford,Dirigido,32625960
100,0.2,Matriz,Bellman-Ford,Dirigido,34617130
100,0.5,Lista,Dijkstra,NaoDirigido,34842850
100,0.5,Matriz,Dijkstra,NaoDirigido,35029560
100,0.5,Lista,Bellman-Ford,NaoDirigido,43366050
100,0.5,Matriz,Bellman-Ford,NaoDirigido,44755520
100,0.5,Lista,Dijkstra,Dirigido,45742370
100,0.5,Matriz,Dijkstra,Dirigido,45874020
100,0.5,Lista,Bellman-Ford,Dirigido,49330600
100,0.5,Matriz,Bellman-Ford,Dirigido,52917470
100,0.8,Lista,Dijkstra,NaoDirigido,53751370
100,0.8,Matriz,Dijkstra,NaoDirigido,53931230
100,0.8,Lista,Bellman-Ford,NaoDirigido,68495430
100,0.8,Matriz,Bellman-Ford,NaoDirigido,69371350
100,0.8,Lista,Dijkstra,Dirigido,69853080
100,0.8,Matriz,Dijkstra,Dirigido,70039140
100,0.8,Lista,Bellman-Ford,Dirigido,78243740
100,0.8,Matriz,Bellman-Ford,Dirigido,80036180
